Time[s], Channel 0,Interval,Over Limit
64.834825,1,99.675,
64.83486,0,,
64.934515,1,99.69,
64.93455,0,,
65.034175,1,99.66,
65.03421,0,,
65.13379,1,99.615,
65.133825,0,,
65.23347,1,99.68,
65.233505,0,,
65.333165,1,99.695,
65.3332,0,,
65.432825,1,99.66,
65.43286,0,,
65.53249,1,99.665,
65.532525,0,,
65.63216,1,99.67,
65.632195,0,,
65.73185,1,99.69,
65.731885,0,,
65.83155,1,99.7,
65.831585,0,,
65.93122,1,99.67,
65.931255,0,,
66.03089,1,99.67,
66.030925,0,,
66.130575,1,99.685,
66.13061,0,,
66.23027,1,99.695,
66.230305,0,,
66.32996,1,99.69,
66.329995,0,,
66.42963,1,99.67,
66.429665,0,,
66.5293,1,99.67,
66.52934,0,,
66.62897,1,99.67,
66.62901,0,,
66.728645,1,99.675,
66.72868,0,,
66.828315,1,99.67,
66.82835,0,,
66.927985,1,99.67,
66.92802,0,,
67.027605,1,99.62,
67.027645,0,,
67.12731,1,99.705,
67.127345,0,,
67.22698,1,99.67,
67.227015,0,,
67.32668,1,99.7,
67.326715,0,,
67.426375,1,99.695,
67.42641,0,,
67.526055,1,99.68,
67.526095,0,,
67.625725,1,99.67,
67.625765,0,,
67.72541,1,99.685,
67.725445,0,,
67.82507,1,99.66,
67.825105,0,,
67.92473,1,99.66,
67.924765,0,,
68.0244,1,99.67,
68.024435,0,,
68.124075,1,99.675,
68.12411,0,,
68.22374,1,99.665,
68.223775,0,,
68.323405,1,99.665,
68.32344,0,,
68.42307,1,99.665,
68.423105,0,,
68.52273,1,99.66,
68.52277,0,,
68.6224,1,99.67,
68.622435,0,,
68.72207,1,99.67,
68.722105,0,,
68.821735,1,99.665,
68.82177,0,,
68.921405,1,99.67,
68.92144,0,,
69.0211,1,99.695,
69.021135,0,,
69.12077,1,99.67,
69.120805,0,,
69.22046,1,99.69,
69.220495,0,,
69.320145,1,99.685,
69.32018,0,,
69.419815,1,99.67,
69.41985,0,,
69.51949,1,99.675,
69.519525,0,,
69.61918,1,99.69,
69.619215,0,,
69.71884,1,99.66,
69.718875,0,,
69.8185,1,99.66,
69.818535,0,,
69.918175,1,99.675,
69.91821,0,,
70.017865,1,99.69,
70.0179,0,,
70.117535,1,99.67,
70.11757,0,,
70.217205,1,99.67,
70.217245,0,,
70.316875,1,99.67,
70.31691,0,,
70.41654,1,99.665,
70.41658,0,,
70.51621,1,99.67,
70.51625,0,,
70.61591,1,99.7,
70.615945,0,,
70.715575,1,99.665,
70.71561,0,,
70.815165,1,99.59,
70.8152,0,,
70.914855,1,99.69,
70.91489,0,,
71.014515,1,99.66,
71.014555,0,,
71.1142,1,99.685,
71.114235,0,,
71.213885,1,99.685,
71.21392,0,,
71.31355,1,99.665,
71.313585,0,,
71.413215,1,99.665,
71.41325,0,,
71.512895,1,99.68,
71.512935,0,,
71.61256,1,99.665,
71.6126,0,,
71.712225,1,99.665,
71.71226,0,,
71.811905,1,99.68,
71.81194,0,,
71.911585,1,99.68,
71.91162,0,,
72.01125,1,99.665,
72.011285,0,,
72.110915,1,99.665,
72.11095,0,,
72.210585,1,99.67,
72.21062,0,,
72.310245,1,99.66,
72.31028,0,,
